num,nor,ps
1,51.32,51.75
2,102.8,103.76
3,154.44,155.33
4,206.56,207.08
5,257.93,258.75
6,309.65,310.37
7,360.99,362.12
8,412.23,413.74
9,464.27,465.57
10,515.82,517.2
11,567.28,568.73
12,618.86,620.4
13,670.53,671.84
14,722.29,723.43
15,773.81,775.22
16,825.46,827.18
17,877.15,878.49
18,928.76,987.183551
19,980.73,988.123551
20,1032.21,989.073551
21,1083.81,990.013551
22,1135.45,990.953551
23,1186.88,1042.523551
24,1238.6,1093.903551
25,1290.08,1145.473551
26,1341.61,1146.403551
27,1393.65,1198.293551
28,1444.97,1250.133551
29,1497.16,1301.773551
30,1549.05,1302.713551
31,1600.47,1354.253551
32,1652.2,1405.833551
33,1704.0,1406.763551
34,1755.35,1458.583551
35,1807.3,1459.523551
36,1858.68,1460.463551
37,1910.17,1512.003551
38,1961.97,1563.813551
39,2013.94,1615.493551
40,2065.18,1667.293551
41,2117.4,1668.233551
42,2168.87,1669.163551
43,2220.42,1776.742347
44,2271.97,1777.682347
45,2323.61,1778.632347
46,2375.62,1779.582347
47,2426.9,1780.522347
48,2478.57,1781.472347
49,2530.13,1832.962347
50,2581.75,1833.902347
51,2633.25,1834.842347
52,2684.7,1886.442347
53,2736.25,1938.032347
54,2787.74,1989.322347
55,2839.45,1990.262347
56,2890.85,1991.192347
57,2942.47,1992.142347
58,2994.22,2043.442347
59,3046.12,2095.582347
60,3097.64,2204.352484
61,3149.26,2255.972484
62,3200.58,2256.902484
63,3252.35,2257.842484
64,3303.77,2259.212484
65,3355.41,2260.392484
66,3406.83,2261.572484
67,3458.19,2262.512484
68,3509.81,2370.572428
69,3561.7,2371.752428
70,3613.38,2372.952428
71,3664.67,2373.892428
72,3716.34,2425.592428
73,3768.07,2477.192428
74,3819.39,2478.122428
75,3870.68,2529.622428
76,3921.96,2581.172428
77,3973.43,2632.982428
78,4025.32,2634.352428
79,4077.0,2635.182428
80,4128.63,2686.502428
81,4180.33,2737.912428
82,4231.72,2738.852428
83,4283.41,2790.502428
84,4334.83,2842.372428
85,4386.46,2951.461705
86,4438.15,2952.821705
87,4490.37,2953.761705
88,4541.79,2955.121705
89,4593.38,3007.121705
90,4644.98,3008.061705
91,4696.68,3009.251705
92,4748.18,3010.421705
93,4799.86,3011.791705
94,4851.22,3012.731705
95,4902.87,3013.931705
96,4954.65,3123.362457
97,5006.51,3174.782457
98,5058.51,3226.502457
99,5110.29,3278.342457
100,5161.82,3279.282457
101,5213.83,3280.232457
102,5265.68,3281.422457
103,5317.13,3333.032457
104,5368.64,3334.412457
105,5420.4,3335.352457
106,5471.76,3336.532457
107,5523.51,3337.712457
108,5575.57,3339.092457
109,5627.07,3340.032457
110,5678.87,3341.412457
111,5730.43,3342.602457
112,5778.12,3390.572457
113,5829.7,3391.752457
114,5881.07,3439.352457
115,5932.83,3491.182457
116,5984.77,3542.542457
117,6036.3,3543.492457
118,6087.5,3544.432457
119,6139.34,3545.272457
120,6191.28,3597.422457
121,6243.26,3649.052457
122,6295.05,3700.672457
123,6346.77,3752.242457
124,6398.52,3753.632457
125,6450.12,3754.572457
126,6502.25,3755.512457
127,6553.86,3756.462457
128,6605.68,3757.302457
129,6657.29,3758.492457
130,6708.81,3759.682457
131,6760.69,3760.882457
132,6812.12,3762.082457
133,6863.71,3763.272457
134,6915.57,3764.212457
135,6967.29,3765.582457
136,7018.78,3766.412457
137,7070.91,3767.782457
138,7122.4,3819.342457
139,7173.96,3870.782457
140,7225.83,3872.162457
141,7277.33,3873.532457
142,7328.61,3874.912457
143,7380.13,3876.112457
144,7431.53,3877.072457
145,7483.11,3925.252457
146,7534.86,3926.852457
147,7586.65,3979.072457
148,7638.5,3980.432457
149,7689.92,3981.372457
150,7741.83,3982.322457
151,7793.22,3983.272457
152,7845.54,3984.212457
153,7897.55,3985.402457
154,7949.01,3986.602457
155,8000.29,4038.382457
156,8051.79,4090.282457
157,8103.46,4198.509726
158,8155.04,4250.109726
159,8206.52,4250.789726
160,8258.35,4251.479726
161,8310.37,4252.179726
162,8361.89,4252.879726
163,8413.41,4253.559726
164,8464.76,4254.249726
165,8516.45,4255.209726
166,8567.95,4255.899726
167,8619.66,4307.149726
168,8671.6,4307.829726
169,8723.4,4308.529726
170,8775.5,4309.479726
171,8827.06,4418.68689
172,8878.69,4420.05689
173,8930.19,4420.89689
174,8981.68,4472.46689
175,9032.94,4473.40689
176,9084.29,4474.08689
177,9136.31,4475.03689
178,9187.73,4475.97689
179,9239.22,4476.65689
180,9290.63,4478.27689
181,9342.15,4479.22689
182,9393.46,4480.83689
183,9444.76,4481.66689
184,9492.51,4529.53689
185,9544.06,4530.22689
186,9595.61,4531.61689
187,9647.57,4532.55689
188,9699.63,4533.38689
189,9751.24,4534.32689
190,9802.77,4535.26689
191,9854.46,4535.95689
192,9906.44,4536.78689
193,9957.72,4588.48689
194,10009.25,4589.42689
195,10060.47,4640.97689
196,10112.06,4641.91689
197,10164.09,4643.10689
198,10215.73,4644.48689
199,10267.14,4645.18689
200,10318.43,4646.12689
201,10365.99,4693.70689
202,10417.2,4741.51689
203,10468.58,4742.20689
204,10516.29,4789.75689
205,10567.68,4790.70689
206,10619.83,4791.90689
207,10671.3,4792.84689
208,10723.46,4793.67689
209,10771.04,4841.32689
210,10822.68,4950.064871
211,10874.3,4950.894871
212,10926.13,4951.834871
213,10977.4,4953.464871
214,11028.82,4955.064871
215,11080.39,4955.744871
216,11132.02,4956.684871
217,11183.85,4957.374871
218,11235.75,4958.074871
219,11287.42,4959.464871
220,11339.08,4960.404871
221,11390.8,4961.094871
222,11442.36,4961.784871
223,11494.42,5013.504871
224,11545.99,5014.444871
225,11597.26,5015.844871
226,11648.82,5017.234871
227,11700.77,5018.414871
228,11752.42,5019.104871
229,11804.1,5071.034871
230,11855.41,5071.974871
231,11907.08,5072.664871
232,11958.76,5073.604871
233,12010.74,5074.554871
234,12062.61,5075.494871
235,12114.55,5076.684871
236,12166.35,5077.634871
237,12218.48,5078.324871
238,12270.4,5079.274871
239,12322.19,5080.224871
240,12373.74,5080.914871
241,12425.63,5081.854871
242,12477.13,5189.802692
243,12528.58,5190.492692
244,12580.63,5191.432692
245,12632.58,5193.062692
246,12684.47,5194.452692
247,12736.14,5195.402692
248,12787.47,5196.352692
249,12839.05,5305.949842
250,12890.49,5306.889842
251,12941.79,5307.459842
252,12993.29,5308.399842
253,13045.0,5360.099842
254,13096.39,5411.879842
255,13147.96,5413.269842
256,13199.56,5414.209842
257,13251.18,5522.775283
258,13302.42,5524.745283
259,13353.88,5576.165283
260,13405.41,5577.005283
261,13457.34,5578.615283
262,13508.97,5579.195283
263,13556.57,5626.675283
264,13608.18,5627.355283
265,13659.64,5628.305283
266,13711.13,5628.995283
267,13762.55,5629.825283
268,13813.87,5631.785283
269,13865.72,5632.465283
270,13917.26,5634.435283
271,13968.86,5685.985283
272,14020.39,5686.675283
273,14071.95,5687.365283
274,14123.76,5688.055283
275,14175.36,5688.745283
276,14226.9,5740.555283
277,14278.81,5791.965283
278,14330.42,5792.645283
279,14382.0,5793.595283
280,14433.37,5794.285283
281,14485.1,5795.225283
282,14537.22,5796.145283
283,14589.07,5797.085283
284,14640.63,5798.035283
285,14692.07,5798.985283
286,14743.86,5799.935283
287,14795.59,5801.885283
288,14847.19,5802.585283
289,14898.91,5854.125283
290,14950.35,5854.815283
291,15001.98,5855.505283
292,15053.72,5856.445283
293,15105.62,5858.065283
294,15157.77,5858.995283
295,15209.75,5859.905283
296,15261.42,5861.525283
297,15312.99,5862.215283
298,15364.47,5863.845283
299,15416.09,5915.525283
300,15467.57,5916.455283
301,15519.24,5917.835283
302,15570.85,5918.415283
303,15622.41,6026.280334
304,15673.96,6027.220334
305,15725.62,6028.180334
306,15772.98,6076.260334
307,15824.96,6077.200334
308,15876.47,6079.170334
309,15928.06,6130.550334
310,15979.98,6131.240334
311,16031.72,6131.820334
312,16083.28,6132.510334
313,16134.83,6133.090334
314,16186.51,6134.470334
315,16238.05,6135.400334
316,16289.43,6136.090334
317,16340.75,6136.780334
318,16392.6,6137.700334
319,16444.06,6138.650334
320,16495.36,6140.030334
321,16546.92,6140.720334
322,16598.72,6142.100334
323,16650.26,6143.710334
324,16702.03,6144.650334
325,16753.58,6145.220334
326,16801.16,6192.830334
327,16852.72,6194.810334
328,16904.61,6195.750334
329,16956.48,6197.140334
330,17008.48,6199.100334
331,17060.17,6200.040334
332,17111.87,6200.730334
333,17163.3,6201.670334
334,17214.57,6203.640334
335,17266.58,6205.610334
336,17318.11,6207.550334
337,17369.89,6208.130334
338,17421.75,6208.710334
339,17473.42,6210.680334
340,17524.9,6211.620334
341,17576.11,6212.190334
342,17627.58,6212.880334
343,17679.36,6213.710334
344,17730.8,6215.090334
345,17782.48,6217.060334
346,17834.29,6218.000334
347,17882.04,6265.860334
348,17933.75,6266.710334
349,17985.18,6267.650334
350,18036.62,6268.350334
351,18088.22,6269.170334
352,18139.53,6269.870334
353,18190.96,6271.240334
354,18242.39,6272.190334
355,18293.88,6272.770334
356,18345.22,6274.150334
357,18396.77,6325.720334
358,18448.77,6327.690334
359,18500.73,6328.640334
360,18552.18,6329.220334
361,18603.69,6329.800334
362,18655.03,6330.490334
363,18706.54,6332.450334
364,18757.88,6333.400334
365,18809.47,6334.340334
366,18861.11,6335.030334
367,18912.61,6335.720334
368,18964.07,6336.410334
369,19015.42,6337.370334
370,19066.81,6337.950334
371,19118.31,6339.930334
372,19169.77,6341.890334
373,19221.31,6342.580334
374,19272.93,6343.160334
375,19324.29,6343.740334
376,19375.71,6345.700334
377,19427.44,6397.280334
378,19478.99,6398.220334
379,19530.45,6399.840334
380,19581.9,6401.460334
381,19633.42,6453.100334
382,19685.25,6453.800334
383,19736.9,6454.760334
384,19788.28,6455.340334
385,19839.86,6456.020334
386,19891.18,6456.710334
387,19942.74,6457.290334
388,19994.38,6458.240334
389,20046.19,6458.930334
390,20097.43,6459.870334
391,20148.95,6460.820334
392,20200.89,6568.983491
393,20252.45,6569.563491
394,20303.86,6570.503491
395,20355.35,6571.193491
396,20407.07,6571.893491
397,20459.04,6572.473491
398,20511.0,6573.163491
399,20562.35,6625.153491
400,20614.4,6625.723491
401,20666.18,6627.703491
402,20718.18,6628.283491
403,20769.59,6630.233491
404,20821.59,6631.183491
405,20873.08,6632.123491
406,20924.47,6632.823491
407,20976.33,6634.773491
408,21028.12,6636.383491
409,21079.61,6637.083491
410,21131.08,6638.023491
411,21182.43,6638.713491
412,21233.92,6639.293491
413,21285.5,6639.983491
414,21337.16,6640.933491
415,21388.76,6641.623491
416,21440.05,6750.103496
417,21491.59,6750.793496
418,21543.14,6751.493496
419,21594.53,6752.433496
420,21645.84,6804.003496
421,21697.63,6804.953496
422,21748.97,6805.903496
423,21800.85,6806.743496
424,21852.45,6807.323496
425,21904.08,6808.703496
426,21955.58,6918.419546
427,22007.39,6969.879546
428,22059.32,6971.259546
429,22110.97,6973.219546
430,22162.5,6974.589546
431,22214.04,6976.549546
432,22265.34,6977.499546
433,22316.94,6978.869546
434,22368.28,6979.449546
435,22419.85,6980.389546
436,22471.35,6981.079546
437,22522.8,6982.459546
438,22574.18,6983.399546
439,22625.97,6984.089546
440,22677.93,6984.779546
441,22729.37,6985.479546
442,22780.63,6986.849546
443,22832.06,6987.429546
444,22883.83,6988.809546
445,22935.77,6989.499546
446,22987.43,6990.189546
447,23039.17,6991.089546
448,23090.86,6991.679546
449,23142.46,6992.629546
450,23194.08,6994.599546
451,23245.69,6995.299546
452,23297.16,6995.979546
453,23348.52,6996.929546
454,23400.03,6997.619546
455,23451.33,6998.319546
456,23503.24,7000.299546
457,23554.59,7001.239546
458,23606.46,7052.689546
459,23657.79,7054.669546
460,23709.26,7055.239546
461,23760.76,7102.649546
462,23812.53,7103.599546
463,23864.54,7104.299546
464,23916.03,7106.269546
