num,nor,ps
1,51.28,52.43
2,103.62,103.78
3,155.09,154.79
4,207.41,206.7
5,259.78,258.71
6,311.86,310.86
7,363.2,490.492137
8,414.17,491.872137
9,466.23,493.242137
10,518.47,494.632137
11,569.61,496.002137
12,621.73,548.502137
13,674.17,600.002137
14,726.51,651.642137
15,779.12,653.062137
16,830.76,705.192137
17,882.87,756.372137
18,934.93,808.982137
19,986.66,861.252137
20,1038.07,913.662137
21,1089.12,965.682137
22,1140.88,967.082137
23,1192.31,968.462137
24,1243.7,1156.102787
25,1296.04,1157.472787
26,1347.56,1158.852787
27,1399.89,1346.562907
28,1451.56,1347.972907
29,1503.48,1349.392907
30,1556.49,1350.792907
31,1608.27,1403.412907
32,1660.0,1404.812907
33,1711.79,1457.332907
34,1764.57,1509.932907
35,1817.0,1562.542907
36,1868.56,1563.932907
37,1921.01,1616.812907
38,1972.91,1618.212907
39,2024.66,1619.592907
40,2077.17,1620.972907
41,2128.22,1622.342907
42,2179.9,1673.962907
43,2232.13,1675.362907
44,2283.77,1676.732907
45,2334.89,1678.112907
46,2387.33,1730.692907
47,2438.85,1732.102907
48,2489.92,1733.502907
49,2541.87,1734.902907
50,2594.0,1787.262907
51,2645.32,1788.642907
52,2696.76,1790.022907
53,2749.33,1842.252907
54,2801.6,1894.732907
55,2852.92,1947.212907
56,2904.53,1999.472907
57,2955.58,2000.852907
58,3007.03,2002.252907
59,3058.4,2003.622907
60,3111.09,2005.022907
61,3162.98,2006.402907
62,3214.21,2007.792907
63,3265.72,2059.722907
64,3317.09,2061.112907
65,3368.38,2062.512907
66,3419.44,2063.882907
67,3470.64,2251.710293
68,3522.18,2253.090293
69,3574.57,2254.490293
70,3626.09,2306.650293
71,3677.73,2308.030293
72,3730.19,2309.440293
73,3782.89,2489.837464
74,3835.42,2491.227464
75,3886.87,2671.178066
76,3939.1,2723.518066
77,3991.65,2775.918066
78,4044.06,2777.328066
79,4096.82,2778.748066
80,4149.37,2780.128066
81,4200.64,2781.508066
82,4253.1,2782.918066
83,4304.37,2784.318066
84,4356.53,2785.708066
85,4409.02,2787.088066
86,4461.3,2788.488066
87,4512.85,2789.858066
88,4565.38,2841.418066
89,4616.95,2842.828066
90,4669.32,2844.208066
91,4720.87,2845.588066
92,4773.03,2846.958066
93,4825.41,2898.328066
94,4878.09,2899.708066
95,4930.83,2901.068066
96,4982.45,2902.478066
97,5034.06,2903.898066
98,5085.62,2905.288066
99,5138.08,2906.698066
100,5189.35,2958.848066
101,5241.44,2960.228066
102,5293.42,2961.618066
103,5345.75,2963.018066
104,5397.05,2964.398066
105,5449.29,2965.798066
106,5501.76,2967.188066
107,5553.32,2968.558066
108,5605.67,2969.948066
109,5658.46,2971.338066
110,5711.27,2972.718066
111,5762.95,2974.098066
112,5815.78,2975.468066
113,5867.45,2976.878066
114,5920.0,2978.288066
115,5970.98,2979.688066
116,6022.37,2981.098066
117,6074.33,2982.478066
118,6125.8,2983.868066
119,6177.91,2985.288066
120,6228.76,2986.668066
121,6280.15,3037.788066
122,6331.18,3088.958066
123,6381.97,3090.328066
124,6434.28,3091.728066
125,6486.39,3093.128066
126,6537.61,3094.528066
127,6589.71,3095.928066
128,6641.1,3097.328066
129,6692.6,3098.738066
130,6744.53,3100.138066
131,6795.6,3101.518066
132,6847.54,3102.918066
133,6898.75,3104.318066
134,6950.1,3105.718066
135,7001.38,3107.138066
136,7053.78,3108.518066
137,7105.07,3109.898066
138,7156.25,3111.268066
139,7208.39,3112.668066
140,7259.86,3164.598066
141,7312.19,3165.998066
142,7364.71,3167.378066
143,7416.84,3168.758066
144,7468.63,3170.138066
145,7521.28,3171.538066
146,7573.39,3172.918066
147,7625.96,3174.298066
148,7678.38,3175.678066
149,7730.03,3177.058066
150,7782.7,3178.428066
151,7835.0,3179.828066
152,7886.14,3231.388066
153,7938.67,3284.008066
154,7990.6,3285.388066
155,8042.46,3286.798066
156,8094.77,3464.646773
157,8147.81,3466.046773
158,8199.55,3467.456773
159,8252.61,3468.836773
160,8304.2,3470.206773
161,8357.02,3471.596773
162,8409.75,3472.976773
163,8462.75,3474.346773
164,8515.49,3475.736773
165,8567.72,3477.126773
166,8619.6,3528.566773
167,8671.08,3529.976773
168,8722.82,3531.346773
169,8774.26,3583.806773
170,8825.57,3635.786773
171,8878.26,3637.166773
172,8929.72,3638.566773
173,8980.93,3639.966773
174,9032.54,3641.366773
175,9085.12,3642.766773
176,9136.4,3644.156773
177,9188.7,3645.546773
178,9239.68,3830.87527
179,9290.94,3832.25527
180,9343.34,3833.63527
181,9394.47,3835.02527
182,9446.92,3836.41527
183,9498.3,3837.81527
184,9549.91,3839.18527
185,9602.29,3891.39527
186,9653.97,3892.79527
187,9705.42,3894.17527
188,9756.83,3895.57527
189,9808.2,3896.94527
190,9859.44,3898.34527
191,9910.91,4082.816867
192,9963.04,4084.226867
193,10014.26,4085.616867
194,10066.43,4086.986867
195,10117.41,4088.366867
196,10168.8,4089.756867
197,10220.0,4091.146867
198,10271.94,4092.566867
199,10323.98,4093.956867
200,10376.29,4095.366867
