num,nor,ps
1,51.42,51.38
2,103.09,102.89
3,154.6,154.39
4,206.04,205.96
5,257.71,257.41
6,309.49,308.87
7,360.98,360.57
8,412.55,412.35
9,464.13,463.88
10,515.68,515.38
11,567.13,567.01
12,618.67,755.984449
13,670.13,760.284449
14,721.89,811.844449
15,773.41,863.364449
16,824.93,867.654449
17,876.57,919.334449
18,928.06,970.974449
19,979.6,975.294449
20,1031.25,1027.034449
21,1082.9,1078.734449
22,1134.46,1130.494449
23,1185.86,1317.626187
24,1237.45,1321.746187
25,1289.15,1373.436187
26,1340.65,1424.866187
27,1392.32,1428.996187
28,1443.88,1480.596187
29,1495.41,1484.926187
30,1546.88,1489.236187
31,1598.53,1493.566187
32,1650.07,1497.676187
33,1701.81,1501.796187
34,1753.46,1553.426187
35,1805.15,1557.546187
36,1856.82,1561.876187
37,1908.25,1752.550855
38,1959.88,1804.170855
39,2011.48,1808.480855
40,2062.95,1812.610855
41,2114.54,1864.100855
42,2166.14,1868.210855
43,2217.57,1872.330855
44,2269.3,1876.440855
45,2321.07,1880.570855
46,2372.74,1884.890855
47,2424.51,1889.020855
48,2476.07,1893.150855
49,2527.63,1897.470855
50,2579.06,1901.600855
51,2630.77,1905.710855
52,2682.48,1909.840855
53,2734.03,1961.500855
54,2785.69,2012.920855
55,2837.14,2017.050855
56,2888.65,2068.860855
57,2940.33,2072.990855
58,2992.06,2124.690855
59,3043.51,2129.010855
60,3095.22,2133.330855
61,3146.99,2184.940855
62,3198.57,2189.250855
63,3250.17,2377.670567
64,3301.88,2429.260567
65,3353.64,2433.410567
66,3405.19,2438.550567
67,3456.8,2445.700567
68,3508.44,2452.900567
69,3560.07,2457.240567
70,3611.54,2461.580567
71,3663.04,2512.890567
72,3714.65,2517.250567
73,3766.29,2521.380567
74,3817.82,2525.710567
75,3869.29,2577.140567
76,3920.76,2581.270567
77,3972.33,2585.610567
78,4024.05,2589.740567
79,4075.52,2593.850567
80,4127.19,2597.980567
81,4178.94,2602.100567
82,4230.6,2606.230567
83,4282.23,2611.390567
84,4333.95,2615.740567
85,4385.44,2667.320567
86,4436.83,2671.470567
87,4488.48,2675.620567
88,4540.17,2727.180567
89,4591.71,2731.520567
90,4643.28,2783.310567
91,4694.86,2787.480567
92,4746.21,2791.610567
93,4797.76,2795.930567
94,4849.48,2800.060567
95,4900.93,2804.190567
96,4952.54,2808.330567
97,5004.11,2812.670567
98,5055.63,2864.090567
99,5107.24,2868.420567
100,5158.71,2872.740567
101,5210.38,2879.920567
102,5262.06,2931.480567
103,5313.64,2983.290567
104,5365.44,2987.630567
105,5416.99,2991.750567
106,5468.71,2998.880567
107,5520.24,3003.190567
108,5571.83,3054.770567
109,5623.58,3058.890567
110,5675.09,3063.210567
111,5726.79,3070.380567
112,5778.57,3074.720567
113,5830.06,3081.900567
114,5881.81,3086.210567
115,5933.27,3090.340567
116,5984.93,3097.530567
117,6036.37,3101.850567
118,6087.82,3105.970567
119,6139.41,3296.877935
120,6191.02,3348.277935
121,6242.7,3352.407935
122,6294.22,3356.527935
123,6345.82,3360.867935
124,6397.4,3412.347935
125,6448.95,3416.697935
126,6500.59,3420.837935
127,6552.26,3427.997935
128,6603.79,3619.334917
129,6655.41,3623.664917
130,6707.02,3627.994917
131,6758.63,3635.124917
132,6810.13,3686.584917
133,6861.93,3690.944917
134,6913.6,3698.114917
135,6965.12,3706.584917
136,7016.72,3711.744917
137,7068.28,3716.054917
138,7119.88,3720.404917
139,7171.37,3771.744917
140,7222.82,3775.884917
141,7274.53,3827.394917
142,7325.89,3834.594917
143,7377.41,3886.054917
144,7429.04,3890.394917
145,7480.54,3897.624917
146,7532.2,3901.964917
147,7583.77,3906.304917
148,7635.54,3957.864917
149,7687.19,3963.004917
150,7738.7,3970.174917
151,7790.27,3974.324917
152,7841.68,3978.694917
153,7893.42,3983.014917
154,7945.16,3987.154917
155,7996.64,3994.344917
156,8048.35,3998.684917
157,8099.65,4003.014917
158,8151.51,4007.354917
159,8203.22,4011.474917
160,8254.94,4015.784917
161,8306.54,4022.954917
162,8358.14,4027.084917
163,8409.83,4031.214917
164,8461.29,4035.574917
165,8512.86,4039.904917
166,8564.42,4044.014917
167,8615.93,4051.204917
168,8667.52,4102.944917
169,8719.19,4107.054917
170,8770.78,4111.194917
171,8822.27,4115.534917
172,8873.7,4119.874917
173,8925.15,4124.004917
174,8976.88,4128.334917
175,9028.38,4132.484917
176,9079.87,4136.824917
177,9131.56,4143.984917
178,9183.06,4148.114917
179,9234.49,4152.464917
180,9285.95,4156.624917
181,9337.51,4160.974917
182,9388.81,4165.304917
183,9440.47,4172.504917
184,9492.2,4179.634917
185,9543.91,4183.754917
186,9595.31,4187.884917
187,9646.92,4192.234917
188,9698.39,4200.634917
189,9749.87,4204.974917
190,9801.42,4209.104917
191,9852.86,4213.234917
192,9904.31,4217.364917
193,9955.96,4221.524917
194,10007.35,4272.954917
195,10058.77,4277.294917
196,10110.5,4285.704917
197,10162.04,4292.914917
198,10213.53,4301.394917
199,10265.01,4309.814917
200,10316.6,4317.004917
