num,No-PS,eager
1,5.6,11.357975
2,10.8595,21.851018
3,16.64,33.533527
4,20.594,41.501331
5,26.199,52.747119
6,30.904,61.888333
7,35.416,63.349333
8,39.99,75.20551
9,45.2155,76.86901
10,49.852,78.31851
11,55.116,89.069968
12,60.954,90.750968
13,66.1255,92.421468
14,71.2255,102.395864
15,76.866,113.718367
16,82.193,124.139854
17,87.2765,125.782854
18,92.5945,136.302894
19,97.5075,137.809894
20,103.0885,149.245355
21,108.8385,161.261537
22,114.6785,162.937537
23,120.2965,164.596537
24,125.3845,166.251037
25,130.447,167.893537
26,135.499,169.649037
27,140.118,178.765378
28,145.8805,180.452878
29,150.9495,182.103378
30,156.096,183.635378
31,161.72,195.130894
32,166.252,196.757394
33,171.5505,198.292894
34,176.584,208.383176
35,181.1025,210.024676
36,185.824,219.39589
37,190.402,223.98039
38,194.8985,225.69089
39,199.739,235.438345
40,205.1255,237.086345
41,210.431,238.603345
42,215.4965,240.141845
43,219.816,251.130846
44,224.722,252.806346
45,228.9575,257.052346
46,234.109,267.560781
47,239.929,269.239781
48,244.454,270.878781
49,249.587,272.424781
50,254.367,274.097781
51,259.536,275.638281
52,265.1215,277.293781
53,270.0975,287.38082
54,274.686,291.97782
55,279.231,300.990145
56,283.7485,302.724145
57,288.8115,304.476645
58,293.6655,305.974145
59,299.06,307.657145
60,303.7875,317.305526
61,309.3735,328.688081
62,314.6175,330.351581
63,318.6165,332.065081
64,323.9155,333.746581
65,329.3245,344.436815
66,334.3015,346.111315
67,339.282,347.785815
68,343.919,349.540315
69,348.492,354.130315
70,354.282,355.805315
71,359.3425,366.05435
72,363.875,367.68485
73,368.885,369.34585
74,374.723,371.02585
75,379.9725,372.67285
76,385.238,374.36035
77,389.9685,383.847124
78,394.179,392.031652
79,398.2375,393.677152
80,402.966,395.311152
81,408.234,396.982152
82,413.551,407.664742
83,418.278,409.322242
84,424.111,420.915237
85,428.93,430.485888
86,433.139,432.158388
87,438.319,442.697349
88,443.4185,444.375349
89,448.032,445.902349
90,452.7535,447.421849
91,458.017,449.090849
92,462.6305,458.476685
93,466.836,460.134185
94,471.896,461.867185
95,476.4785,470.71025
96,480.6175,474.85525
97,485.9085,476.50075
98,490.903,478.18225
99,495.0565,486.186427
100,499.0825,487.901927
101,503.8005,489.538927
102,507.9505,497.492468
103,512.546,499.052968
104,518.432,500.720468
105,524.181,502.411468
106,528.7635,514.143345
107,534.02,515.828345
108,539.085,517.462845
109,544.4125,527.983385
110,549.39,529.672385
111,554.465,531.521385
112,559.751,533.061385
113,564.557,534.571385
114,569.8855,545.297456
115,574.7465,547.075956
116,580.1355,548.842956
117,585.2145,550.493456
118,590.176,560.164805
119,595.0065,561.655805
120,600.766,563.344805
121,606.4955,565.042305
122,611.3115,566.670305
123,616.576,577.2378
124,621.1805,578.9078
125,626.359,580.7553
126,630.5725,582.4348
127,635.9765,584.1163
128,640.9455,585.7673
129,645.7245,587.4413
130,651.567,599.057234
131,656.0515,600.798734
132,660.0545,602.437734
133,665.4525,604.090734
134,670.751,605.638734
135,675.811,607.298734
136,680.867,608.952234
137,685.4225,613.514734
138,689.9355,615.135734
139,695.667,616.819734
140,700.7125,626.765553
141,705.0885,628.568053
142,710.7245,630.427553
143,715.3055,639.293909
144,719.7985,641.022909
145,724.3025,642.691909
146,729.5725,644.385909
147,733.981,645.859909
148,739.711,647.537409
149,744.2775,649.094909
150,749.3315,650.930909
151,754.4015,652.578909
152,760.187,654.251909
153,766.026,655.912409
154,771.758,657.602409
155,776.863,659.366409
156,782.145,661.027909
157,786.136,662.636409
158,791.475,673.044113
159,796.0375,681.992738
160,800.6255,686.543738
161,805.6655,688.085738
162,810.2005,689.810238
163,814.7035,691.460738
164,819.2245,692.917238
165,825.037,704.530861
166,829.617,706.140861
167,834.648,707.878361
168,839.281,717.158333
169,844.6785,718.823833
170,849.9145,729.131041
171,855.7535,740.860119
172,859.6965,742.502119
173,864.258,744.007119
174,869.551,754.935899
175,874.87,756.462899
176,879.332,758.130899
177,883.95,759.806899
178,888.9835,761.401399
179,894.238,763.068399
180,899.386,773.434704
181,903.91,775.234704
182,908.039,779.383704
183,913.8495,790.975981
184,918.3715,792.703981
185,923.619,794.394481
186,928.672,796.046981
187,933.0355,797.698481
188,938.639,799.477981
189,944.027,800.939481
190,949.768,802.629481
191,955.0745,804.179981
192,960.934,815.996554
193,965.439,817.643554
194,969.4645,819.272554
195,974.737,820.918054
196,980.5545,822.620554
197,985.528,824.160054
198,991.346,825.841054
199,996.08,827.487054
200,1001.2575,837.735208
201,1006.277,839.419708
202,1010.9275,840.935208
203,1016.786,842.602208
204,1021.8095,844.438708
205,1026.87,846.180208
206,1031.4505,847.785708
207,1036.33,857.358761
208,1041.9215,859.009761
209,1047.448,870.237936
210,1052.339,871.755936
211,1056.3385,873.407436
212,1060.8535,875.119436
213,1066.7125,876.800436
214,1071.5385,886.472972
215,1076.0315,888.127472
216,1081.391,898.649675
217,1086.97,900.440175
218,1091.5475,902.059175
219,1096.8595,903.597175
220,1102.225,905.130175
221,1106.746,906.886175
222,1112.358,918.335176
223,1116.574,919.949176
224,1122.1035,921.615176
225,1126.699,923.136176
226,1131.236,924.876176
227,1136.5425,926.658176
228,1141.2805,928.314676
229,1146.025,929.966176
230,1151.338,931.512176
231,1157.055,943.455977
232,1161.204,945.054977
233,1166.473,946.730477
234,1171.052,948.292477
235,1176.317,950.077977
236,1181.583,951.724977
237,1186.6745,953.389477
238,1191.7345,955.126477
239,1197.578,956.811977
240,1202.6785,958.352477
241,1206.9925,966.610388
242,1211.578,971.206388
243,1217.422,972.862888
244,1221.8995,981.862671
245,1227.712,983.530171
246,1233.5585,995.431743
247,1239.3335,1007.400573
248,1245.171,1009.282573
249,1250.543,1020.033427
250,1256.2785,1032.065734
251,1261.5545,1033.753734
252,1265.691,1035.392734
253,1271.2135,1037.047734
254,1276.962,1038.713734
255,1281.1995,1040.391734
256,1285.9425,1041.977234
257,1290.5095,1043.493234
258,1295.8235,1045.070734
259,1301.6345,1046.746734
260,1306.003,1048.355234
261,1311.7695,1050.022234
262,1317.434,1051.795234
263,1322.0195,1053.418234
264,1326.5745,1055.061734
265,1331.118,1056.704734
266,1336.4145,1058.343234
267,1340.9255,1059.997734
268,1345.3875,1061.668234
269,1350.1405,1063.315234
270,1354.1875,1065.034734
271,1359.7965,1066.677234
272,1364.007,1068.349734
273,1368.497,1070.072734
274,1374.102,1071.870234
275,1379.8305,1073.487734
276,1384.814,1075.163234
277,1390.4315,1076.825734
278,1394.952,1078.357734
279,1400.124,1080.036234
280,1404.686,1081.692234
281,1409.289,1090.51401
282,1413.7995,1092.14251
283,1419.643,1094.03901
284,1423.841,1095.71051
285,1428.5825,1097.34701
286,1433.147,1098.82051
287,1438.337,1100.36101
288,1442.914,1109.493537
289,1447.7395,1111.264037
290,1453.5715,1123.025026
291,1457.784,1124.702026
292,1462.9445,1126.425526
293,1467.1035,1127.977526
294,1472.454,1129.520026
295,1478.2125,1131.162526
296,1483.547,1132.920526
297,1488.3785,1134.361526
298,1493.6215,1136.027026
299,1498.2,1137.581526
300,1502.7865,1139.143026
301,1508.3085,1140.796026
302,1513.6125,1142.544526
303,1518.4165,1144.074026
304,1523.323,1145.745526
305,1528.629,1147.266026
306,1532.632,1148.883026
307,1537.1255,1150.524526
308,1541.27,1152.068526
309,1546.3475,1153.706526
310,1551.654,1155.250026
311,1557.2395,1157.017526
312,1561.8475,1158.561526
313,1566.4115,1160.103026
314,1571.1295,1161.733526
315,1576.4305,1163.262026
316,1581.4675,1165.028026
317,1586.719,1175.951354
318,1592.2455,1187.336262
319,1597.6195,1188.863262
320,1603.235,1190.636762
321,1608.478,1192.318262
322,1613.78,1194.070762
323,1619.0135,1195.784762
324,1623.7905,1197.315762
325,1627.8215,1198.927762
326,1631.981,1200.479262
327,1636.8215,1202.011262
328,1642.653,1203.899262
329,1647.755,1205.531262
330,1652.2035,1207.240762
331,1658.029,1208.956262
332,1663.3425,1210.491762
333,1668.0775,1211.945262
334,1672.636,1213.504762
335,1677.6985,1215.238762
336,1683.2635,1216.998762
337,1688.8705,1218.668762
338,1694.4765,1220.434762
339,1698.8235,1222.007262
340,1702.8135,1223.618762
341,1706.766,1225.265262
342,1712.1275,1235.93643
343,1716.635,1237.57993
344,1722.464,1239.26193
345,1727.7755,1240.91143
346,1732.337,1242.46993
347,1737.9365,1244.23093
348,1742.779,1245.97643
