num,No-PS,adaptive
1,51.51,51.06
2,102.72,102.05
3,153.76,153.23
4,204.73,204.24
5,256.0,255.88
6,307.65,307.31
7,358.81,358.83
8,409.82,555.194799
9,460.93,607.144799
10,512.66,626.524799
11,563.86,678.084799
12,615.25,697.464799
13,666.88,716.974799
14,718.49,736.364799
15,770.15,787.654799
16,821.11,807.134799
17,872.92,826.554799
18,924.51,877.564799
19,975.69,897.054799
20,1026.85,916.484799
21,1078.6,967.454799
22,1129.68,1018.514799
23,1181.24,1037.934799
24,1232.91,1057.364799
25,1284.05,1076.804799
26,1335.74,1096.244799
27,1386.91,1115.614799
28,1438.25,1135.104799
29,1489.86,1154.544799
30,1541.56,1173.874799
31,1593.12,1193.264799
32,1644.66,1212.774799
33,1696.29,1232.314799
34,1747.93,1251.744799
35,1799.23,1459.993058
36,1850.2,1479.443058
37,1901.25,1498.973058
38,1952.64,1550.673058
39,2003.74,1570.253058
40,2054.76,1589.673058
41,2105.93,1609.023058
42,2157.0,1628.563058
43,2208.64,1647.923058
44,2260.16,1667.393058
45,2311.15,1718.553058
46,2362.84,1738.053058
47,2414.52,1789.823058
48,2465.98,1840.993058
49,2517.64,1860.503058
50,2568.7,1912.403058
51,2620.36,1931.933058
52,2671.56,1951.393058
53,2723.1,1970.723058
54,2774.02,2021.993058
55,2825.7,2041.473058
56,2876.83,2060.983058
57,2928.12,2080.523058
58,2979.66,2099.853058
59,3031.0,2119.343058
60,3082.73,2138.783058
61,3134.39,2158.233058
62,3185.39,2177.803058
63,3237.04,2197.273058
64,3288.29,2248.203058
65,3339.32,2267.543058
66,3390.55,2318.433058
67,3441.72,2369.963058
68,3492.81,2557.611844
69,3543.96,2609.201844
70,3595.71,2620.161844
71,3646.79,2639.701844
72,3698.51,2691.141844
73,3749.56,2742.721844
74,3800.54,2762.111844
75,3852.15,2813.171844
76,3903.86,2832.521844
77,3955.34,2883.771844
78,4006.78,2916.391844
79,4057.64,2935.771844
80,4109.34,2946.751844
81,4160.84,2966.261844
82,4212.04,2985.791844
83,4263.16,3036.701844
84,4314.82,3056.171844
85,4365.91,3067.181844
86,4416.9,3078.111844
87,4467.94,3097.541844
88,4519.11,3108.471844
89,4570.51,3159.211844
90,4621.99,3210.351844
91,4673.54,3229.691844
92,4725.09,3249.041844
93,4776.06,3268.361844
94,4827.63,3287.741844
95,4878.72,3320.091844
96,4930.24,3339.461844
97,4981.84,3359.021844
98,5033.05,3378.551844
99,5084.59,3410.981844
100,5135.76,3430.421844
101,5186.95,3449.941844
102,5238.37,3460.871844
103,5289.73,3511.991844
104,5340.95,3531.341844
105,5392.59,3733.527282
106,5444.18,3753.017282
107,5495.68,3772.547282
108,5546.73,3823.927282
109,5597.96,3834.917282
110,5649.17,3886.007282
111,5700.87,3937.107282
112,5752.1,3956.537282
113,5803.81,3967.537282
114,5854.96,3978.517282
115,5906.54,3997.937282
116,5957.68,4024.267282
117,6009.15,4035.217282
118,6060.71,4046.277282
119,6112.06,4097.417282
120,6163.6,4148.537282
121,6215.11,4181.037282
122,6266.7,4200.427282
123,6317.94,4219.897282
124,6369.42,4246.547282
125,6421.0,4257.497282
126,6472.1,4268.517282
127,6523.41,4287.987282
128,6574.44,4339.767282
129,6625.73,4359.177282
130,6677.07,4391.647282
131,6728.81,4410.957282
132,6780.24,4421.917282
133,6831.45,4454.337282
134,6882.82,4473.907282
135,6934.01,4500.457282
136,6985.17,4519.887282
137,7036.77,4539.347282
138,7088.22,4558.777282
139,7139.48,4578.117282
140,7190.58,4597.507282
141,7242.09,4616.977282
142,7293.33,4668.117282
143,7344.87,4700.407282
144,7396.06,4751.477282
145,7447.71,4777.857282
146,7499.23,4788.877282
147,7550.32,4808.367282
148,7601.89,4827.847282
149,7653.57,4847.427282
150,7705.19,4866.797282
151,7756.27,4886.307282
152,7807.83,4905.837282
153,7859.11,4925.367282
154,7910.4,4951.767282
155,7962.01,4971.287282
156,8013.22,4982.367282
157,8065.0,5001.717282
158,8116.27,5021.197282
159,8167.45,5053.497282
160,8218.92,5064.557282
161,8270.3,5075.597282
162,8321.48,5127.217282
163,8372.79,5146.677282
164,8424.02,5166.157282
165,8475.76,5185.667282
166,8527.2,5205.037282
167,8578.84,5224.477282
168,8630.03,5235.497282
169,8681.06,5254.947282
170,8732.53,5306.607282
171,8784.07,5325.957282
172,8835.43,5345.327282
173,8886.99,5364.837282
174,8938.22,5416.117282
175,8989.51,5467.327282
176,9041.15,5486.817282
177,9092.38,5506.317282
178,9143.44,5705.426992
179,9194.57,5731.976992
180,9246.31,5751.356992
181,9297.66,5770.746992
182,9348.77,5790.056992
183,9399.96,5816.536992
184,9450.99,5827.526992
185,9502.22,5846.836992
186,9553.87,5898.136992
187,9605.53,5909.206992
188,9657.11,5960.626992
189,9708.42,5971.646992
190,9760.06,5982.636992
191,9811.6,6034.406992
192,9863.28,6085.616992
193,9914.58,6118.216992
194,9966.19,6137.666992
195,10017.8,6156.986992
196,10068.92,6176.466992
197,10119.95,6195.916992
198,10171.46,6215.526992
199,10223.13,6235.036992
200,10274.23,6246.036992
