query,NOR,PS32,PS64,PS400,PS4000,PS10000,PS100000
q2,0,0.245938799,0.245938799,0.307517945,0.399697771,0.408953532,2.186626369
q3,0,0.056728514,0.059181062,0.064832587,0.176004479,0.321177223,1.673725741
q5,0,0,0,0,0.00408782,0.010233087,0.197243699
q7,0,0,0,0,0.00927907,0.010906175,0.169206095
q8,0,0,0,0,0.024456522,0.024456522,0.250646966
q10,0,0.157665505,0.159780986,0.18529119,0.335241414,0.672473868,5.647940518
q15,0,0.554638896,0.554909386,0.583175548,0.718420341,0.811333514,0.811333514
q17,0,0.020922634,0.021252361,0.028236564,0.028236564,0.043224124,6.986528323
q18,0,0.073983237,0.073983237,0.073983237,0.073983237,0.080978481,7.628462966
q19,0,0.016917293,0.016917293,0.022086466,0.022086466,0.073308271,1.901449248
q20,0,0.26754062,0.26754062,0.467411374,0.793759232,0.901541728,6.960441285
q21,0,0.425818084,0.458009519,0.601765693,0.873527725,0.887412872,2.742081667
