query,NOR,PS32,PS64,PS400,PS4000,PS10000,PS100000
q2,0.529,0.529,0.529,0.529,0.503,0.449,0.436
q3,0.938,0.359,0.272,0.066,0.044,0.044,0.044
q5,1.055,1.055,1.055,1.055,0.924,0.654,0.490
q7,1.247,1.247,1.247,1.247,0.926,0.610,0.408
q8,0.442,0.442,0.442,0.442,0.351,0.321,0.300
q10,0.804,0.588,0.474,0.307,0.070,0.064,0.058
q17,3.336,3.336,3.336,3.336,0.798,0.761,0.732
q18,4.689,3.716,3.594,0.816,0.603,0.587,0.569
q19,0.106,0.093,0.080,0.068,0.066,0.064,0.063
q20,2.166,2.166,2.166,2.166,0.842,0.820,0.786
q21,2.719,2.719,2.719,2.719,0.869,0.813,0.760
