num,No-PS,PS,MV
1,109.71,166.404734,116.59
2,219.4,167.724734,116.7
3,329.02,169.034734,116.82
4,439.4,170.354734,116.94
5,549.4,336.104198,230.82
6,660.2,337.414198,230.93
7,770.76,504.643584,231.04
8,882.44,505.953584,231.16
9,995.58,678.532851,348.59
10,1107.59,679.302851,348.72
11,1220.73,680.072851,348.85
12,1332.41,680.842851,348.97
13,1442.93,844.259348,463.34
14,1552.71,846.019348,463.45
15,1663.02,847.789348,463.56
16,1772.93,849.539348,463.67
17,1880.7,851.229348,575.01
18,1988.18,852.929348,575.12
19,2095.84,854.629348,575.23
20,2203.46,856.329348,575.34
21,2316.26,1027.577994,692.19
22,2429.85,1028.617994,692.32
23,2542.8,1029.657994,692.44
24,2655.56,1030.707994,692.56
25,2768.49,1031.477994,810.12
26,2881.13,1032.247994,810.26
27,2993.93,1033.587994,810.4
28,3106.44,1034.907994,810.54
29,3218.74,1035.947994,928.03
30,3331.13,1036.987994,928.17
31,3444.16,1038.027994,928.31
32,3556.99,1039.067994,928.45
33,3669.15,1207.693698,1044.68
34,3780.82,1209.023698,1044.82
35,3893.04,1379.301189,1044.96
36,4005.03,1380.951189,1045.1
37,4117.67,1382.291189,1162.32
38,4230.6,1383.981189,1162.44
39,4342.89,1385.691189,1162.57
40,4454.49,1387.031189,1162.69
41,4564.64,1551.42278,1275.99
42,4675.68,1552.75278,1276.11
43,4786.67,1554.08278,1276.23
44,4896.76,1720.657409,1276.35
45,5005.83,1884.646523,1389.4
46,5115.01,1886.496523,1389.51
47,5224.2,1888.336523,1389.62
48,5333.44,1890.176523,1389.73
49,5442.36,1891.476523,1502.67
50,5551.35,1892.776523,1502.78
51,5660.46,1894.406523,1502.89
52,5769.34,1895.706523,1503.0
53,5878.78,2058.510123,1615.42
54,5987.34,2059.740123,1615.53
55,6096.73,2223.301093,1615.64
56,6205.35,2225.061093,1615.75
57,6315.21,2226.381093,1729.77
58,6424.54,2228.031093,1729.88
59,6534.22,2229.341093,1729.99
60,6644.58,2230.661093,1730.1
61,6752.73,2231.871093,1841.35
62,6860.95,2233.581093,1841.46
63,6969.03,2234.771093,1841.56
64,7077.19,2236.491093,1841.67
65,7188.09,2401.002995,1955.88
66,7299.16,2402.192995,1955.99
67,7409.09,2568.019277,1956.1
68,7520.17,2569.219277,1956.21
69,7632.24,2570.879277,2072.48
70,7744.34,2572.559277,2072.6
71,7857.47,2573.869277,2072.72
72,7969.8,2575.179277,2072.83
73,8082.65,2576.519277,2189.73
74,8195.39,2577.869277,2189.84
75,8308.13,2579.579277,2189.95
76,8421.54,2581.269277,2190.06
77,8531.54,2582.509277,2303.5
78,8641.62,2583.749277,2303.61
79,8752.22,2584.969277,2303.72
80,8862.09,2586.729277,2303.83
81,8973.84,2752.079509,2419.55
82,9086.0,2753.019509,2419.66
83,9197.76,2753.959509,2419.77
84,9309.64,2754.889509,2419.88
85,9419.8,2756.539509,2533.44
86,9529.7,2758.179509,2533.55
87,9640.01,2759.829509,2533.66
88,9750.08,2761.469509,2533.77
89,9860.9,2762.239509,2648.89
90,9972.48,2763.009509,2649.01
91,10084.61,2763.769509,2649.13
92,10195.65,2764.529509,2649.25
93,10306.94,2766.219509,2764.98
94,10418.93,2767.899509,2765.09
95,10530.7,2769.559509,2765.2
96,10642.46,2771.229509,2765.31
97,10750.84,2772.969509,2877.41
98,10859.08,2774.699509,2877.52
99,10967.31,2775.919509,2877.63
100,11075.53,2777.659509,2877.74
101,11186.54,2944.058477,2992.1
102,11297.41,3111.555875,2992.22
103,11408.06,3113.465875,2992.34
104,11518.83,3115.375875,2992.46
105,11631.33,3116.695875,3110.03
106,11743.74,3118.005875,3110.15
107,11856.27,3119.665875,3110.27
108,11968.85,3121.305875,3110.39
109,12081.67,3122.945875,3225.06
110,12193.04,3124.255875,3225.17
111,12304.46,3125.915875,3225.28
112,12415.79,3127.575875,3225.39
113,12526.89,3128.905875,3340.96
114,12639.28,3130.575875,3341.08
115,12750.49,3131.875875,3341.2
116,12862.24,3133.185875,3341.32
117,12973.98,3300.6202,3457.1
118,13086.07,3301.9502,3457.21
119,13198.69,3469.873674,3457.33
120,13310.27,3471.203674,3457.45
121,13423.33,3644.270572,3575.04
122,13536.28,3645.050572,3575.16
123,13649.01,3645.830572,3575.28
124,13762.21,3646.620572,3575.41
125,13874.23,3648.290572,3692.48
126,13986.92,3649.620572,3692.6
127,14099.4,3650.960572,3692.72
128,14211.64,3652.290572,3692.84
129,14319.52,3653.240572,3804.83
130,14427.89,3654.980572,3804.94
131,14535.89,3656.710572,3805.05
132,14643.76,3657.670572,3805.17
